~, Ui_st_community, Pda_encyclopedia_name, St_data_export_description, St_prop_weight, St_upgr_cost, Ui_mm_repair, Ui_inv_outfit_durability_physical, Ui_inv_outfit_durability_anomaly, Ui_inv_outfit_fire_wound_protection, Ui_inv_outfit_wound_protection, Ui_inv_outfit_burn_protection, Ui_inv_outfit_shock_protection, Ui_inv_outfit_chemical_burn_protection, Ui_inv_outfit_radiation_protection, Ui_inv_outfit_telepatic_protection, Ui_inv_outfit_strike_protection, Ui_inv_outfit_explosion_protection, Ui_inv_outfit_artefact_count, St_data_export_outfit_artefact_count_max, Ui_inv_outfit_additional_weight, Ui_inv_outfit_speed
monolith_scientific_outfit,monolith,monolith_scientific_outfit_name,monolith_scientific_outfit_description,7.82,53440,H,83%,96%,5307%,3999%,3300%,4749%,17000%,3943%,1749%,3400%,1866%,2,4,16,96%
cs_exolight_outfit,csky,cs_exolight_outfit_name,cs_exolight_outfit_description,13.30,78350,H,100%,71%,7000%,4421%,4199%,5500%,24999%,5352%,999%,4199%,3666%,1,2,30,94%
dolg_proto_exo_outfit,dolg,dolg_proto_exo_outfit_name,dolg_proto_exo_outfit_description,15.24,84600,E,86%,71%,3384%,4736%,1299%,1749%,7000%,985%,0%,4300%,2200%,1,2,88,110%
exo_wood_outfit,st_data_export_unknown,exo_wood_outfit_name,exo_wood_outfit_description,14.40,82350,H,100%,71%,7230%,4947%,2899%,2874%,21999%,4929%,999%,4699%,2333%,2,3,30,94%
exolight_outfit,stalker,exolight_outfit_name,exolight_outfit_description,13.30,71350,H,98%,71%,7230%,4526%,2700%,2500%,20000%,4788%,999%,4300%,3666%,2,3,30,94%
merc_exo_outfit,killer,merc_exo_outfit_name,merc_exo_outfit_description,36.10,137420,E,86%,71%,7846%,5631%,2000%,2000%,17000%,4647%,999%,5350%,4333%,2,4,105,102%
monolith_exo_outfit,monolith,monolith_exo_outfit_name,monolith_exo_outfit_description,27.30,148820,E,86%,71%,7615%,5894%,1700%,2000%,23999%,5633%,1999%,5099%,3866%,1,3,105,102%
merc_ace_outfit,killer,ace_outfit_name,ace_outfit_description,10.24,74340,H,83%,96%,6153%,3894%,2700%,4250%,15000%,4507%,2416%,3000%,1733%,3,5,16,98%
merc_exolight_outfit,killer,merc_exolight_outfit_name,merc_exolight_outfit_description,12.30,71350,H,100%,71%,7230%,4578%,2599%,2249%,18000%,4788%,999%,4350%,3666%,2,3,32,94%
dolg_heavy_proto_exo_outfit,dolg,dolg_heavy_proto_exo_outfit_name,dolg_heavy_proto_exo_outfit_description,20.32,105350,E,86%,71%,5307%,5473%,3000%,2500%,18000%,1830%,0%,5099%,3199%,2,4,94,107%
dolg_scientific_wood_outfit,dolg,dolg_scientific_wood_outfit_name,dolg_scientific_wood_outfit_description,9.10,65780,H,82%,96%,5307%,4631%,1800%,3249%,11999%,3943%,2516%,3499%,2066%,3,5,16,98%
svoboda_exolight_outfit,freedom,svoboda_exolight_outfit_name,svoboda_exolight_outfit_description,12.50,78350,H,100%,71%,7615%,4210%,2300%,2000%,15000%,4507%,1166%,4000%,3199%,2,3,34,94%
military_proto_exo_outfit,army,military_proto_exo_outfit_name,military_proto_exo_outfit_description,18.29,101350,E,86%,71%,5692%,5157%,2500%,2500%,15000%,1830%,0%,4600%,3199%,1,3,94,107%
isg_exo_outfit,isg,isg_exo_outfit_name,isg_exo_outfit_description,31.30,152560,E,86%,71%,7846%,6315%,2800%,2500%,21999%,4929%,1666%,6000%,3666%,1,3,105,102%
cs_stalker_proto_exo_outfit,csky,cs_stalker_proto_exo_outfit_name,cs_stalker_proto_exo_outfit_description,13.55,73550,E,86%,71%,2615%,3999%,2399%,2000%,8500%,1267%,0%,3400%,1599%,3,5,85,110%
isg_proto_exo_outfit,isg,isg_proto_exo_outfit_name,isg_proto_exo_outfit_description,13.80,94920,E,86%,71%,3923%,4526%,1700%,2125%,9000%,1267%,0%,3799%,2066%,2,5,96,110%
exo_merc_urban_outfit,killer,exo_merc_urban_outfit_name,exo_merc_urban_outfit_description,13.10,82350,H,100%,71%,7615%,4631%,2199%,2000%,15000%,4507%,999%,4399%,4666%,1,2,28,94%
greh_exo_outfit,greh,greh_exo_outfit_name,greh_exo_outfit_description,29.30,132230,E,86%,71%,7615%,6210%,2199%,2249%,18999%,4647%,999%,5899%,3333%,1,3,105,102%
dolg_scientific_red_outfit,dolg,dolg_scientific_red_outfit_name,dolg_scientific_red_outfit_description,9.28,64560,H,82%,96%,6153%,3999%,1800%,3249%,11999%,3943%,1999%,2899%,1800%,2,4,16,98%
cs_scientific_outfit_good,csky,cs_scientific_outfit_good_name,cs_scientific_outfit_good_description,8.40,73760,H,82%,96%,5307%,3315%,1899%,8249%,28000%,5915%,2500%,2150%,1399%,3,5,16,98%
stalker_proto_exo_outfit,stalker,stalker_proto_exo_outfit_name,stalker_proto_exo_outfit_description,14.20,72950,E,86%,71%,2923%,4210%,1010%,1174%,4600%,492%,0%,3650%,1899%,2,4,85,110%
monolith_nosorog_outfit,monolith,monolith_nosorog_outfit_name,nosorog_outfit_description,37.30,198820,E,90%,71%,8307%,6947%,1700%,2000%,23999%,5633%,1516%,6100%,4533%,1,3,105,100%
ecolog_exo_outfit,ecolog,ecolog_exo_outfit_name,ecolog_exo_outfit_description,27.30,125300,E,86%,71%,7307%,5263%,4499%,5500%,28999%,5633%,999%,5000%,3333%,1,3,105,102%
monolith_exolight_outfit,monolith,monolith_exolight_outfit_name,monolith_exolight_outfit_description,12.30,76350,H,98%,71%,7615%,4842%,1700%,2000%,23999%,5633%,1999%,4099%,3199%,1,2,30,94%
freedom_nosorog_outfit,freedom,freedom_nosorog_outfit_name,freedom_nosorog_outfit_desc,37.50,183300,E,90%,71%,8307%,6631%,2599%,2500%,20000%,4788%,1516%,6299%,3866%,2,4,110,100%
cs_exo_outfit,csky,cs_exo_outfit_name,cs_exo_outfit_description,28.30,125300,E,86%,71%,7307%,5473%,4199%,5500%,24999%,5352%,999%,5199%,3666%,1,3,105,102%
bandit_exolight_outfit,bandit,bandit_exolight_outfit_name,bandit_exolight_outfit_description,11.30,68350,H,98%,71%,7000%,4315%,2199%,2249%,18999%,4647%,1166%,4499%,3333%,2,3,46,94%
exo_dolg_wood_outfit,dolg,exo_dolg_wood_outfit_name,exo_dolg_wood_outfit_description,14.40,82350,H,100%,71%,7230%,5263%,2599%,2624%,20000%,4929%,1500%,5000%,2333%,2,3,30,94%
ecolog_outfit_blue,ecolog,st_ecologist_outfit_blue_name,st_ecologist_outfit_blue_description,7.63,61400,H,31%,100%,4615%,2421%,6250%,8625%,23000%,6197%,3666%,2199%,1399%,3,5,18,99%
exo_outfit,stalker,exo_outfit_name,exo_outfit_description,28.30,128230,E,86%,71%,7615%,5578%,2700%,2500%,20000%,4788%,999%,5299%,3666%,2,4,105,102%
dolg_exolight_outfit,dolg,dolg_exolight_outfit_name,dolg_exolight_outfit_description,13.70,71350,H,98%,71%,7230%,4842%,2500%,2249%,18999%,4788%,999%,4600%,2666%,1,2,30,94%
