~, Ui_st_community, Pda_encyclopedia_name, St_data_export_description, St_prop_weight, St_upgr_cost, Ui_mm_repair, Ui_inv_outfit_durability_physical, Ui_inv_outfit_durability_anomaly, Ui_inv_outfit_fire_wound_protection, Ui_inv_outfit_wound_protection, Ui_inv_outfit_burn_protection, Ui_inv_outfit_shock_protection, Ui_inv_outfit_chemical_burn_protection, Ui_inv_outfit_radiation_protection, Ui_inv_outfit_telepatic_protection, Ui_inv_outfit_strike_protection, Ui_inv_outfit_explosion_protection, Ui_inv_outfit_artefact_count, St_data_export_outfit_artefact_count_max, Ui_inv_outfit_additional_weight, Ui_inv_outfit_speed
trenchcoat_green_outfit,st_data_export_unknown,trenchcoat_green_outfit_name,trenchcoat_green_outfit_description,5.12,13770,L,2%,68%,2153%,1894%,564%,799%,2349%,464%,566%,1299%,666%,0,0,8,104%
bandit_novice_outfit,bandit,bandit_novice_outfit_name,bandit_novice_outfit_description,3.09,6870,L,3%,0%,1615%,1842%,425%,375%,1400%,0%,0%,1250%,633%,0,0,10,105%
cs_light_outfit,csky,csky_light_outfit_name,csky_light_outfit_description,5.36,24680,L,35%,28%,2153%,2526%,1330%,724%,3400%,450%,0%,1800%,1466%,1,2,14,105%
trenchcoat_brown_outfit,st_data_export_unknown,trenchcoat_brown_outfit_name,trenchcoat_brown_outfit_description,5.08,13500,L,2%,68%,2153%,1894%,610%,587%,2300%,422%,633%,1299%,666%,0,0,8,104%
cs_novice_outfit,csky,csky_novice_outfit_name,csky_novice_outfit_description,3.87,7680,L,3%,0%,1615%,1999%,844%,1312%,4349%,0%,0%,1400%,733%,0,0,5,105%
trenchcoat_dolg_brown_outfit,dolg,trenchcoat_dolg_brown_outfit_name,trenchcoat_brown_outfit_description,5.88,14120,L,2%,68%,1846%,2526%,640%,812%,1799%,422%,0%,1800%,1066%,1,1,8,104%
novice_outfit,st_data_export_unknown,novice_outfit_name,novice_outfit_description,2.98,6200,L,3%,0%,1615%,1999%,494%,450%,1799%,0%,0%,1400%,733%,0,0,5,105%
greh_trenchcoat_outfit,greh,greh_trenchcoat_outfit_name,greh_trenchcoat_outfit_description,6.39,13840,L,2%,68%,1846%,2421%,740%,962%,3299%,507%,666%,1700%,1066%,1,1,8,104%
redline_novice_outfit,st_data_export_unknown,redline_novice_outfit_name,redline_novice_outfit_description,3.29,8900,L,3%,0%,1615%,1684%,675%,612%,3150%,0%,0%,1099%,566%,0,0,7,107%
isg_lcs_camo_outfit,isg,isg_lcs_camo_outfit_name,isg_lcs_camo_outfit_description,4.77,20970,L,35%,28%,2153%,2421%,1000%,575%,2800%,366%,0%,1899%,1200%,1,3,16,104%
