~,pda_encyclopedia_name,st_data_export_description,st_prop_weight,st_upgr_cost,ui_mm_repair,st_data_export_single_handed,ui_inv_accuracy,ui_inv_handling,ui_inv_damage,ui_inv_rate_of_fire,ui_ammo_count,ui_inv_wrange,ui_inv_bspeed,ui_inv_reli,ui_inv_recoil,ui_ammo_types,st_data_export_ammo_types_alt,st_data_export_hit_power
wpn_walther_custom,st_wpn_walther_custom,st_wpn_walther_descr,0.69,5680,A,Y,0%,0%,0.30666667222977,0.285,16,0,0,0%,0,ammo-9x19-fmj;ammo-9x19-fmj;ammo-9x19-fmj;ammo-9x19-pbp;ammo-9x19-pbp;ammo-9x19-pbp;ammo-9x19-ap;ammo-9x19-ap;ammo-9x19-ap,,0.46
wpn_fn57,st_wpn_fn57,st_wpn_fn57_descr,0.61,15280,A,Y,0%,0%,0.29999999205271,0.245,20,0,0,0%,0,ammo-5.7x28-ss190;ammo-5.7x28-ss190;ammo-5.7x28-ss190;ammo-5.7x28-ss195;ammo-5.7x28-ss195;ammo-5.7x28-ss195,,0.45
wpn_beretta_camo,st_wpn_beretta_camo,st_wpn_beretta_descr,0.95,11650,A,Y,0%,0%,0.30666667222977,0.325,15,0,0,0%,0,ammo-9x19-fmj;ammo-9x19-fmj;ammo-9x19-fmj;ammo-9x19-pbp;ammo-9x19-pbp;ammo-9x19-pbp;ammo-9x19-ap;ammo-9x19-ap;ammo-9x19-ap,ammo-9x18-fmj;ammo-9x18-fmj;ammo-9x18-fmj;ammo-9x18-pmm;ammo-9x18-pmm;ammo-9x18-pmm;ammo-9x18-ap;ammo-9x18-ap;ammo-9x18-ap,0.46
wpn_desert_eagle,st_wpn_desert_eagle,st_wpn_desert_eagle_descr,1.90,19680,A,Y,0%,0%,0.40000001589457,0.24,9,0,0,0%,0,ammo-357-hp;ammo-357-hp;ammo-357-hp,,0.6
wpn_sig220,st_wpn_sig220,st_wpn_sig220_descr,1.13,12980,A,Y,0%,0%,0.36666667461395,0.225,7,0,0,0%,0,ammo-11.43x23-fmj;ammo-11.43x23-fmj;ammo-11.43x23-fmj;ammo-11.43x23-hydro;ammo-11.43x23-hydro;ammo-11.43x23-hydro,,0.55
wpn_pm,st_wpn_pm,st_wpn_pm_descr,0.73,4890,A,Y,0%,0%,0.29999999205271,0.315,8,0,0,0%,0,ammo-9x18-fmj;ammo-9x18-fmj;ammo-9x18-fmj;ammo-9x18-pmm;ammo-9x18-pmm;ammo-9x18-pmm;ammo-9x18-ap;ammo-9x18-ap;ammo-9x18-ap,ammo-9x19-fmj;ammo-9x19-fmj;ammo-9x19-fmj;ammo-9x19-pbp;ammo-9x19-pbp;ammo-9x19-pbp;ammo-9x19-ap;ammo-9x19-ap;ammo-9x19-ap,0.45
wpn_colt1911_custom,st_wpn_colt1911_custom,st_wpn_colt1911_descr,1.07,12550,A,Y,0%,0%,0.36666667461395,0.246,7,0,0,0%,0,ammo-11.43x23-fmj;ammo-11.43x23-fmj;ammo-11.43x23-fmj;ammo-11.43x23-hydro;ammo-11.43x23-hydro;ammo-11.43x23-hydro,,0.55
wpn_oc33,st_wpn_oc33,st_wpn_oc33_descr,1.15,8860,A,Y,0%,0%,0.29999999205271,0.8,27,0,0,0%,0,ammo-9x18-fmj;ammo-9x18-fmj;ammo-9x18-fmj;ammo-9x18-pmm;ammo-9x18-pmm;ammo-9x18-pmm;ammo-9x18-ap;ammo-9x18-ap;ammo-9x18-ap,ammo-9x19-fmj;ammo-9x19-fmj;ammo-9x19-fmj;ammo-9x19-pbp;ammo-9x19-pbp;ammo-9x19-pbp;ammo-9x19-ap;ammo-9x19-ap;ammo-9x19-ap,0.45
wpn_beretta_modern,st_wpn_beretta_modern,st_wpn_beretta_descr,0.95,9390,A,Y,0%,0%,0.30666667222977,0.37,15,0,0,0%,0,ammo-9x19-fmj;ammo-9x19-fmj;ammo-9x19-fmj;ammo-9x19-pbp;ammo-9x19-pbp;ammo-9x19-pbp;ammo-9x19-ap;ammo-9x19-ap;ammo-9x19-ap,ammo-9x18-fmj;ammo-9x18-fmj;ammo-9x18-fmj;ammo-9x18-pmm;ammo-9x18-pmm;ammo-9x18-pmm;ammo-9x18-ap;ammo-9x18-ap;ammo-9x18-ap,0.46
wpn_fnx45,st_wpn_fnx45,st_wpn_fnx45_descr,1.30,15880,A,Y,0%,0%,0.36666667461395,0.26,15,0,0,0%,0,ammo-11.43x23-fmj;ammo-11.43x23-fmj;ammo-11.43x23-fmj;ammo-11.43x23-hydro;ammo-11.43x23-hydro;ammo-11.43x23-hydro,,0.55
wpn_fnx45_custom,st_wpn_fnx45_custom,st_wpn_fnx45_descr,1.30,18650,A,Y,0%,0%,0.36666667461395,0.29,15,0,0,0%,0,ammo-11.43x23-fmj;ammo-11.43x23-fmj;ammo-11.43x23-fmj;ammo-11.43x23-hydro;ammo-11.43x23-hydro;ammo-11.43x23-hydro,,0.55
wpn_gsh18,st_wpn_gsh18,st_wpn_gsh18_descr,0.58,9680,A,Y,0%,0%,0.30666667222977,0.28,18,0,0,0%,0,ammo-9x19-fmj;ammo-9x19-fmj;ammo-9x19-fmj;ammo-9x19-pbp;ammo-9x19-pbp;ammo-9x19-pbp;ammo-9x19-ap;ammo-9x19-ap;ammo-9x19-ap,,0.46
wpn_pm_custom,st_wpn_pm_custom,st_wpn_pm_descr,0.73,6890,A,Y,0%,0%,0.29999999205271,0.34,8,0,0,0%,0,ammo-9x18-fmj;ammo-9x18-fmj;ammo-9x18-fmj;ammo-9x18-pmm;ammo-9x18-pmm;ammo-9x18-pmm;ammo-9x18-ap;ammo-9x18-ap;ammo-9x18-ap,ammo-9x19-fmj;ammo-9x19-fmj;ammo-9x19-fmj;ammo-9x19-pbp;ammo-9x19-pbp;ammo-9x19-pbp;ammo-9x19-ap;ammo-9x19-ap;ammo-9x19-ap,0.45
wpn_colt1911_duty,st_wpn_colt1911_duty,st_wpn_colt1911_duty_descr,1.07,14580,A,Y,0%,0%,0.36666667461395,0.275,7,0,0,0%,0,ammo-11.43x23-fmj;ammo-11.43x23-fmj;ammo-11.43x23-fmj;ammo-11.43x23-hydro;ammo-11.43x23-hydro;ammo-11.43x23-hydro,,0.55
