~,pda_encyclopedia_name,st_data_export_description,st_prop_weight,st_upgr_cost,ui_mm_repair,st_data_export_single_handed,ui_inv_accuracy,ui_inv_handling,ui_inv_damage,ui_inv_rate_of_fire,ui_ammo_count,ui_inv_wrange,ui_inv_bspeed,ui_inv_reli,ui_inv_recoil,ui_ammo_types,st_data_export_ammo_types_alt,st_data_export_hit_power
wpn_g36k,st_wpn_g36k,st_wpn_g36k_descr,3.30,33860,C,N,0%,0%,0.33333333333333,0.75,30,0,0,0%,0,ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ap;ammo-5.56x45-ap;ammo-5.56x45-ap,,0.5
wpn_9a91,st_wpn_9a91,st_wpn_9a91_descr,1.80,28860,D,N,0%,0%,0.41333333651225,0.7,20,0,0,0%,0,ammo-9x39-pab9;ammo-9x39-pab9;ammo-9x39-pab9;ammo-9x39-ap;ammo-9x39-ap;ammo-9x39-ap,,0.62
wpn_ak74m_duty,st_wpn_ak74m_duty,st_wpn_ak74m_descr,3.40,38580,C,N,0%,0%,0.33333333333333,0.6,30,0,0,0%,0,ammo-5.45x39-fmj;ammo-5.45x39-fmj;ammo-5.45x39-fmj;ammo-5.45x39-ep;ammo-5.45x39-ep;ammo-5.45x39-ep;ammo-5.45x39-ap;ammo-5.45x39-ap;ammo-5.45x39-ap,ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ap;ammo-5.56x45-ap;ammo-5.56x45-ap,0.5
wpn_aek_camo,st_wpn_aek971_camo,st_wpn_aek971_camo_descr,3.40,45760,C,N,0%,0%,0.33333333333333,0.85,30,0,0,0%,0,ammo-5.45x39-fmj;ammo-5.45x39-fmj;ammo-5.45x39-fmj;ammo-5.45x39-ep;ammo-5.45x39-ep;ammo-5.45x39-ep;ammo-5.45x39-ap;ammo-5.45x39-ap;ammo-5.45x39-ap,,0.5
wpn_l85a2_alt,st_wpn_l85a2_alt,st_wpn_l85a2_descr,4.13,36980,C,N,0%,0%,0.33999999364217,0.665,30,0,0,0%,0,ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ap;ammo-5.56x45-ap;ammo-5.56x45-ap,ammo-5.45x39-fmj;ammo-5.45x39-fmj;ammo-5.45x39-fmj;ammo-5.45x39-ep;ammo-5.45x39-ep;ammo-5.45x39-ep;ammo-5.45x39-ap;ammo-5.45x39-ap;ammo-5.45x39-ap,0.51
wpn_vintorez_nimble,st_wpn_vintorez_nimble,st_wpn_vintorez_nimble_descr,3.28,51850,D,N,0%,0%,0.42666665712992,0.774,10,0,0,0%,0,ammo-9x39-pab9;ammo-9x39-pab9;ammo-9x39-pab9;ammo-9x39-ap;ammo-9x39-ap;ammo-9x39-ap,,0.64
wpn_m249,st_wpn_m249,st_wpn_m249_descr,7.68,56580,C,N,0%,0%,0.33999999364217,0.87,100,0,0,0%,0,ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ap;ammo-5.56x45-ap;ammo-5.56x45-ap,,0.51
wpn_l85,st_wpn_l85,st_wpn_l85_descr,3.88,33860,C,N,0%,0%,0.33999999364217,0.68,30,0,0,0%,0,ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ap;ammo-5.56x45-ap;ammo-5.56x45-ap,ammo-5.45x39-fmj;ammo-5.45x39-fmj;ammo-5.45x39-fmj;ammo-5.45x39-ep;ammo-5.45x39-ep;ammo-5.45x39-ep;ammo-5.45x39-ap;ammo-5.45x39-ap;ammo-5.45x39-ap,0.51
wpn_ak105,st_wpn_ak105,st_wpn_ak105_descr,3.20,24480,C,N,0%,0%,0.3266666730245,0.65,30,0,0,0%,0,ammo-5.45x39-fmj;ammo-5.45x39-fmj;ammo-5.45x39-fmj;ammo-5.45x39-ep;ammo-5.45x39-ep;ammo-5.45x39-ep;ammo-5.45x39-ap;ammo-5.45x39-ap;ammo-5.45x39-ap,,0.49
wpn_g36_camo,st_wpn_g36_camo,st_wpn_g36_descr,3.77,48850,C,N,0%,0%,0.33333333333333,0.765,30,0,0,0%,0,ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ap;ammo-5.56x45-ap;ammo-5.56x45-ap,,0.5
wpn_aks,st_wpn_aks,st_wpn_aks_descr,3.20,22650,D,N,0%,0%,0.38666665554047,0.6,30,0,0,0%,0,ammo-7.62x39_fmj;ammo-7.62x39_fmj;ammo-7.62x39_fmj;ammo-7.62x39_ap;ammo-7.62x39_ap;ammo-7.62x39_ap,,0.58
wpn_g36_nimble,st_wpn_g36,st_wpn_g36_descr,3.77,43880,C,N,0%,0%,0.33333333333333,0.75,30,0,0,0%,0,ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ap;ammo-5.56x45-ap;ammo-5.56x45-ap,,0.5
