~,pda_encyclopedia_name,st_data_export_description,st_prop_weight,st_upgr_cost,ui_mm_repair,st_data_export_single_handed,ui_inv_accuracy,ui_inv_handling,ui_inv_damage,ui_inv_rate_of_fire,ui_ammo_count,ui_inv_wrange,ui_inv_bspeed,ui_inv_reli,ui_inv_recoil,ui_ammo_types,st_data_export_ammo_types_alt,st_data_export_hit_power
wpn_p90,st_wpn_p90,st_wpn_p90_descr,2.78,39880,A,N,0%,0%,0.30666667222977,0.9,50,0,0,0%,0,ammo-5.7x28-ss190;ammo-5.7x28-ss190;ammo-5.7x28-ss190;ammo-5.7x28-ss195;ammo-5.7x28-ss195;ammo-5.7x28-ss195,,0.46
wpn_vz61,st_wpn_vz61,st_wpn_vz61_descr,1.44,15680,A,N,0%,0%,0.30666667222977,0.85,20,0,0,0%,0,ammo-9x19-fmj;ammo-9x19-fmj;ammo-9x19-fmj;ammo-9x19-pbp;ammo-9x19-pbp;ammo-9x19-pbp;ammo-9x19-ap;ammo-9x19-ap;ammo-9x19-ap,,0.46
wpn_mp5,st_wpn_mp5,st_wpn_mp5_descr,3.10,20380,A,N,0%,0%,0.3133333325386,0.8,30,0,0,0%,0,ammo-9x19-fmj;ammo-9x19-fmj;ammo-9x19-fmj;ammo-9x19-pbp;ammo-9x19-pbp;ammo-9x19-pbp;ammo-9x19-ap;ammo-9x19-ap;ammo-9x19-ap,ammo-9x18-fmj;ammo-9x18-fmj;ammo-9x18-fmj;ammo-9x18-pmm;ammo-9x18-pmm;ammo-9x18-pmm;ammo-9x18-ap;ammo-9x18-ap;ammo-9x18-ap,0.47
wpn_ump45_custom,st_wpn_ump45_custom,st_wpn_ump45_descr,2.48,33880,A,N,0%,0%,0.37333333492279,0.64,25,0,0,0%,0,ammo-11.43x23-fmj;ammo-11.43x23-fmj;ammo-11.43x23-fmj;ammo-11.43x23-hydro;ammo-11.43x23-hydro;ammo-11.43x23-hydro,,0.56
wpn_ump45,st_wpn_ump45,st_wpn_ump45_descr,2.48,28980,A,N,0%,0%,0.37333333492279,0.6,25,0,0,0%,0,ammo-11.43x23-fmj;ammo-11.43x23-fmj;ammo-11.43x23-fmj;ammo-11.43x23-hydro;ammo-11.43x23-hydro;ammo-11.43x23-hydro,,0.56
wpn_mp5sd_custom,st_wpn_mp5sd_custom,st_wpn_mp5sd_descr,2.97,24560,A,N,0%,0%,0.3133333325386,0.835,30,0,0,0%,0,ammo-9x19-fmj;ammo-9x19-fmj;ammo-9x19-fmj;ammo-9x19-pbp;ammo-9x19-pbp;ammo-9x19-pbp;ammo-9x19-ap;ammo-9x19-ap;ammo-9x19-ap,ammo-9x18-fmj;ammo-9x18-fmj;ammo-9x18-fmj;ammo-9x18-pmm;ammo-9x18-pmm;ammo-9x18-pmm;ammo-9x18-ap;ammo-9x18-ap;ammo-9x18-ap,0.47
wpn_mp5_alt,st_wpn_mp5_alt,st_wpn_mp5_descr,3.10,22350,A,N,0%,0%,0.3133333325386,0.813,30,0,0,0%,0,ammo-9x19-fmj;ammo-9x19-fmj;ammo-9x19-fmj;ammo-9x19-pbp;ammo-9x19-pbp;ammo-9x19-pbp;ammo-9x19-ap;ammo-9x19-ap;ammo-9x19-ap,ammo-9x18-fmj;ammo-9x18-fmj;ammo-9x18-fmj;ammo-9x18-pmm;ammo-9x18-pmm;ammo-9x18-pmm;ammo-9x18-ap;ammo-9x18-ap;ammo-9x18-ap,0.47
wpn_mp5_nimble,st_wpn_mp5_nimble,st_wpn_mp5_nimble_descr,3.00,28950,A,N,0%,0%,0.37333333492279,0.73,30,0,0,0%,0,ammo-11.43x23-fmj;ammo-11.43x23-fmj;ammo-11.43x23-fmj;ammo-11.43x23-hydro;ammo-11.43x23-hydro;ammo-11.43x23-hydro,,0.56
wpn_vz61_alt,st_wpn_vz61_alt,st_wpn_vz61_descr,1.44,13960,A,N,0%,0%,0.30666667222977,0.865,20,0,0,0%,0,ammo-9x18-fmj;ammo-9x18-fmj;ammo-9x18-fmj;ammo-9x18-pmm;ammo-9x18-pmm;ammo-9x18-pmm;ammo-9x18-ap;ammo-9x18-ap;ammo-9x18-ap,,0.46
wpn_mp5sd_new,st_wpn_mp5sd_new,st_wpn_mp5sd_descr,2.97,22650,A,N,0%,0%,0.3133333325386,0.82,30,0,0,0%,0,ammo-9x19-fmj;ammo-9x19-fmj;ammo-9x19-fmj;ammo-9x19-pbp;ammo-9x19-pbp;ammo-9x19-pbp;ammo-9x19-ap;ammo-9x19-ap;ammo-9x19-ap,ammo-9x18-fmj;ammo-9x18-fmj;ammo-9x18-fmj;ammo-9x18-pmm;ammo-9x18-pmm;ammo-9x18-pmm;ammo-9x18-ap;ammo-9x18-ap;ammo-9x18-ap,0.47
wpn_mp7,st_wpn_mp7,st_wpn_mp7_descr,2.10,23300,A,N,0%,0%,0.3133333325386,0.95,40,0,0,0%,0,ammo-9x19-fmj;ammo-9x19-fmj;ammo-9x19-fmj;ammo-9x19-pbp;ammo-9x19-pbp;ammo-9x19-pbp;ammo-9x19-ap;ammo-9x19-ap;ammo-9x19-ap,ammo-9x18-fmj;ammo-9x18-fmj;ammo-9x18-fmj;ammo-9x18-pmm;ammo-9x18-pmm;ammo-9x18-pmm;ammo-9x18-ap;ammo-9x18-ap;ammo-9x18-ap,0.47
wpn_vityaz,st_wpn_vityaz,st_wpn_vityaz_descr,2.90,20880,A,N,0%,0%,0.3133333325386,0.7,30,0,0,0%,0,ammo-9x19-fmj;ammo-9x19-fmj;ammo-9x19-fmj;ammo-9x19-pbp;ammo-9x19-pbp;ammo-9x19-pbp;ammo-9x19-ap;ammo-9x19-ap;ammo-9x19-ap,ammo-9x18-fmj;ammo-9x18-fmj;ammo-9x18-fmj;ammo-9x18-pmm;ammo-9x18-pmm;ammo-9x18-pmm;ammo-9x18-ap;ammo-9x18-ap;ammo-9x18-ap,0.47
wpn_kiparis,st_wpn_kiparis,st_wpn_kiparis_descr,1.60,16880,A,N,0%,0%,0.30666667222977,0.85,30,0,0,0%,0,ammo-9x18-fmj;ammo-9x18-fmj;ammo-9x18-fmj;ammo-9x18-pmm;ammo-9x18-pmm;ammo-9x18-pmm;ammo-9x18-ap;ammo-9x18-ap;ammo-9x18-ap,ammo-9x19-fmj;ammo-9x19-fmj;ammo-9x19-fmj;ammo-9x19-pbp;ammo-9x19-pbp;ammo-9x19-pbp;ammo-9x19-ap;ammo-9x19-ap;ammo-9x19-ap,0.46
wpn_mp5_custom,st_wpn_mp5_custom,st_wpn_mp5_descr,3.10,23680,A,N,0%,0%,0.3133333325386,0.83,30,0,0,0%,0,ammo-9x19-fmj;ammo-9x19-fmj;ammo-9x19-fmj;ammo-9x19-pbp;ammo-9x19-pbp;ammo-9x19-pbp;ammo-9x19-ap;ammo-9x19-ap;ammo-9x19-ap,ammo-9x18-fmj;ammo-9x18-fmj;ammo-9x18-fmj;ammo-9x18-pmm;ammo-9x18-pmm;ammo-9x18-pmm;ammo-9x18-ap;ammo-9x18-ap;ammo-9x18-ap,0.47
