~,st_data_export_price_multiplier
0kp2,0.44
1p29,0.44
1p59,0.44
1p76,0.44
1p78gs,0.44
1pn93,0.44
1pn93n2_1gs,0.44
226sig_kit,0.44
23_up,0.44
5c_tik,0.44
ac10632,0.44
ac11090,0.44
acog,0.44
adrenalin,0.44
af_aac,0.44
af_aam,0.44
af_absorbent,0.44
af_ameba_mi,0.44
af_ameba_mica,0.44
af_ameba_sli,0.44
af_ameba_slime,0.44
af_ameba_slu,0.44
af_ameba_slug,0.44
af_arhara_globus,0.44
af_armor_1,0.44
af_armor_2,0.44
af_armor_3,0.44
af_armor_4,0.44
af_atom,0.44
af_babka_1,0.44
af_babka_2,0.44
af_babka_3,0.44
af_ball,0.44
af_baloon,0.44
af_baloon3,0.44
af_baloon_af_aac,0.44
af_baloon_af_aam,0.44
af_baloon_af_iam,0.44
af_bat,0.44
af_best_compass,0.44
af_black,0.44
af_black_angel,0.44
af_black_spray,0.44
af_black_spray_af_aac,0.44
af_black_spray_af_aam,0.44
af_black_spray_af_iam,0.44
af_black_spray_lead_box,0.44
af_bloo,0.44
af_blood,0.44
af_blood2,0.44
af_blood3,0.44
af_blood_af_aac,0.44
af_blood_af_aam,0.44
af_blood_af_iam,0.44
af_blood_green,0.44
af_bracelet,0.44
af_bracelet_af_aac,0.44
af_bracelet_af_aam,0.44
af_bracelet_af_iam,0.44
af_bracelet_lead_box,0.44
af_brain,0.44
af_bumerang,0.44
af_camelbak,0.44
af_camelbak_up,0.44
af_caterpillar,0.44
af_cell,0.44
af_ceramic,0.44
af_ceramic_up,0.44
af_chelust,0.44
af_chertyaico,0.44
af_clear_sky,0.44
af_cocoon,0.44
af_compass,0.44
af_compass_af_aac,0.44
af_compass_af_aam,0.44
af_compass_af_iam,0.44
af_cooler,0.44
af_cooler_up,0.44
af_crist_flower,0.44
af_cristal_drops,0.44
af_cristall,0.44
af_cristall2,0.44
af_cristall3,0.44
af_cristall_af_aac,0.44
af_cristall_af_aam,0.44
af_cristall_af_iam,0.44
af_cristall_flower,0.44
af_cristall_flower2,0.44
af_cristall_flower3,0.44
af_cristall_flower_af_aac,0.44
af_cristall_flower_af_aam,0.44
af_cristall_flower_af_iam,0.44
af_crystal_blood,0.44
af_crystal_generator,0.44
af_crystal_glassbeads,0.44
af_crystal_gravi,0.44
af_crystal_ice,0.44
af_crystal_oko,0.44
af_crystal_vyvert,0.44
af_dark_soul,0.44
af_death_lamp,0.44
af_death_lamp_af_aac,0.44
af_death_lamp_af_aam,0.44
af_death_lamp_af_iam,0.44
af_death_lamp_lead_box,0.44
af_deformer,0.44
af_dik_1,0.44
af_dik_2,0.44
af_dik_3,0.44
af_dik_4,0.44
af_dragon_eye,0.44
af_drops,0.44
af_dummy_battery,0.44
af_dummy_battery3,0.44
af_dummy_battery_af_aac,0.44
af_dummy_battery_af_aam,0.44
af_dummy_battery_af_iam,0.44
af_dummy_battery_red,0.44
af_dummy_dummy,0.44
af_dummy_dummy2,0.44
af_dummy_dummy3,0.44
af_dummy_dummy_af_aac,0.44
af_dummy_dummy_af_aam,0.44
af_dummy_dummy_af_iam,0.44
af_dummy_glassbe,0.44
af_dummy_glassbeads,0.44
af_dummy_glassbeads2,0.44
af_dummy_glassbeads3,0.44
af_dummy_glassbeads_af_aac,0.44
af_dummy_glassbeads_af_aam,0.44
af_dummy_glassbeads_af_iam,0.44
af_dummy_pellicle,0.44
af_dummy_pellicle_red,0.44
af_dummy_spri,0.44
af_dummy_spring,0.44
af_dummy_spring_red,0.44
af_ear,0.44
af_electra_fla,0.44
af_electra_flash,0.44
af_electra_flash2,0.44
af_electra_flash3,0.44
af_electra_flash_af_aac,0.44
af_electra_flash_af_aam,0.44
af_electra_flash_af_iam,0.44
af_electra_moon,0.44
af_electra_moonlight,0.44
af_electra_moonlight2,0.44
af_electra_moonlight_af_aac,0.44
af_electra_moonlight_af_aam,0.44
af_electra_moonlight_af_iam,0.44
af_electra_spar,0.44
af_electra_sparkler,0.44
af_electra_sparkler2,0.44
af_electra_sparkler3,0.44
af_electra_sparkler_af_aac,0.44
af_electra_sparkler_af_aam,0.44
af_electra_sparkler_af_iam,0.44
af_electro_crystal_thorn,0.44
af_elektron,0.44
af_empty,0.44
af_empty_af_aac,0.44
af_empty_af_aam,0.44
af_empty_af_iam,0.44
af_empty_lead_box,0.44
af_eye,0.44
af_eye3,0.44
af_eye_af_aac,0.44
af_eye_af_aam,0.44
af_eye_af_iam,0.44
af_fire,0.44
af_fire3,0.44
af_fire_af_aac,0.44
af_fire_af_aam,0.44
af_fire_af_iam,0.44
af_fire_ba,0.44
af_fire_loop,0.44
af_fireball,0.44
af_fireball2,0.44
af_fireball3,0.44
af_fireball_af_aac,0.44
af_fireball_af_aam,0.44
af_fireball_af_iam,0.44
af_fonar,0.44
af_fountain,0.44
af_frames,0.44
af_frames_up,0.44
af_freon,0.44
af_freon_up,0.44
af_full_empty,0.44
af_full_empty_af_aac,0.44
af_full_empty_af_aam,0.44
af_full_empty_af_iam,0.44
af_full_empty_lead_box,0.44
af_fuzz_kolobok,0.44
af_fuzz_kolobok2,0.44
af_fuzz_kolobok3,0.44
af_fuzz_kolobok_af_aac,0.44
af_fuzz_kolobok_af_aam,0.44
af_fuzz_kolobok_af_iam,0.44
af_generator,0.44
af_glass,0.44
af_glass3,0.44
af_glass_af_aac,0.44
af_glass_af_aam,0.44
af_glass_af_iam,0.44
af_gold_fish,0.44
af_gold_fish2,0.44
af_gold_fish_af_aac,0.44
