~,st_data_export_price_multiplier
af_kevlar_up,2.0017118768437
af_misery_bread,2.0701526545884
af_plates_up,2.0552328312435
ammo_12x70_raid,2.2266524673223
ammo_20x70_buck,1.8013302871104
ammo_23x75_barrikada,1.898717478064
ammo_23x75_shrapnel,1.8894101276135
ammo_338_federal,1.9896379758073
ammo_4.6x30_fmj_bad,1.9148532677688
ammo_50_bmg_bad,2.1099185431437
ammo_9x21_sp10,1.8485782439678
ammo_vog-30,1.9196476247571
army_bowler,2.0264221323583
beans,1.5677384216866
beer,1.5969528845348
bottle_metal,1.5922827264523
bread,1.5397789270702
breadold,1.5271975393545
chili,1.5559687845163
chocolate,1.6247685312878
chocolate_p,1.5755840128224
cigar,1.6216790073995
cigar1,1.6420853005864
cigar2,1.6576862772409
cigar3,1.6686750018341
cigarettes,1.5997246102329
cigarettes_lucky,1.6120619104755
cigarettes_russian,1.5890390775866
compression_bag,1.8115046200825
conserva,1.5420526126362
cooking,1.9389264144234
corn,1.5453350908513
drink_crow,1.7034065185231
drug_anabiotic,2.0185567708809
drug_antidot,1.9718962248763
drug_coagulant,1.9765323864665
drug_psy_blockade,1.9969858544187
drug_radioprotector,1.9133638667198
ecolog_raid_event_item,2.2808225309961
energy_drink,1.581705984663
exo_dolg_red_outfit,2.272116225774
fieldcooker,2.0725231238694
flask,1.5461859787986
hand_rolling_tobacco,1.6503294714934
hide_bloodsucker,1.9456249563745
hide_boar,1.8584950284222
hide_burer,1.9674608207974
hide_chimera,1.988650101502
hide_controller,1.9817598714128
hide_flesh,1.8584950284222
hide_lurker,1.8584950284222
hide_pseudodog,1.879746987927
hide_pseudogiant,2.0084025756607
hide_psy_dog,1.9236661717269
hide_psysucker,1.9456249563745
item_raid_unknown,0
itm_sleepbag,1.9485954083394
itm_tent_bag,1.8115046200825
joint,1.5084531535673
kit_hunt,2.0756413146599
kolbasa,1.5660642654506
marijuana,1.578367267015
meat_bloodsucker,1.6159727606136
meat_bloodsucker_a,1.6875189807262
meat_bloodsucker_b,1.6380605971195
meat_boar,1.5929599090485
meat_boar_a,1.6835901602017
meat_boar_b,1.6304944147721
meat_chimera,1.6481243649256
meat_chimera_a,1.7146143559858
meat_chimera_b,1.6737500858194
meat_dog,1.559401997673
meat_dog_a,1.6063092865623
meat_dog_b,1.5785037312211
meat_flesh,1.5869380596951
meat_flesh_a,1.6749016002516
meat_flesh_b,1.6222917231954
meat_lurker,1.6481243649256
meat_lurker_a,1.6949289544254
meat_lurker_b,1.6660958778985
meat_pseudodog,1.5747999726316
meat_pseudodog_a,1.6576138673469
meat_pseudodog_b,1.6037730720886
meat_psysucker,1.6290414138725
meat_psysucker_a,1.6850011091258
meat_psysucker_b,1.6545354791386
meat_snork,1.5802553591007
meat_snork_a,1.6703554204833
meat_snork_b,1.6122361969433
meat_tushkano,1.5114268681123
meat_tushkano_a,1.5765700550196
meat_tushkano_b,1.5568879482915
medkit_army,1.9979901884322
medkit_scientic,2.0313272245746
meinkampf,1.7833328131102
merc_combat_scientific_outfit,2.2825911155388
mil_radio_amplifier,2.024023703921
military_car_radio,1.9874283824609
mineral_water,1.6258683915324
mint,1.4802970233446
monolith_shard,0
mre,1.6602493331478
mutant_part_boar_chop,1.8511397889191
mutant_part_boar_leg,1.8513414980464
mutant_part_brain_burer,2.0093816160144
mutant_part_burer_hand,1.9608298041772
mutant_part_cat_claw,1.7918080676857
mutant_part_cat_tail,1.8538242967263
mutant_part_cat_thyroid,1.8118237002824
mutant_part_chimera_claw,1.9230836304087
mutant_part_chimera_kogot,2.0003187915979
mutant_part_chimera_meat,1.9142604553972
mutant_part_controller_glass,2.0448175410756
mutant_part_controller_hand,2.0103681635092
mutant_part_crow_beak,1.926955821781
mutant_part_dog_heart,1.8050312656803
mutant_part_dog_liver,1.8034648282115
mutant_part_dog_meat,1.7564903923351
mutant_part_dog_tail,1.8448605862564
mutant_part_fang_psevdodog,1.7708573172409
mutant_part_flesh_eye,1.8475321612202
mutant_part_flesh_meat,1.8277607857538
mutant_part_fracture_hand,1.8364338961933
mutant_part_heart_bloodsucker,1.8448605862564
mutant_part_heart_chimera,1.9138132753175
mutant_part_krovosos_jaw,1.95107664096
mutant_part_krovosos_meat,1.8776812834394
mutant_part_lurker_eye,1.8475321612202
mutant_part_lurker_meat,1.9142604553972
mutant_part_lurker_tail,1.8475321612202
mutant_part_pseudogigant_eye,2.0625727104171
mutant_part_pseudogigant_hand,2.0449884697293
mutant_part_psevdodog_meat,1.8316392014153
mutant_part_psevdodog_tail,1.8538242967263
mutant_part_psysucker_hand,1.9790116478713
mutant_part_psysucker_meat,1.8931249435405
mutant_part_snork_hand,1.8187050464566
mutant_part_snork_leg,1.8651080467008
mutant_part_snork_mask,1.8899968144171
mutant_part_tushkano_head,1.8286814822454
mutant_part_tushkano_meat,1.738329681184
mutant_part_tusk_boar,1.8034648282115
mutant_part_zombi_hand,1.8448605862564
nuts,1.5933521289744
partskit_tool,2.170239971906
pill_raid,2.1367078122337
powder_poltergeist,1.973155304943
raid_injector_1,2.0881512098425
raid_injector_2,2.1582715624289
raid_injector_3,2.2044055089634
raid_injector_4,2.2266524673223
raid_injector_5,2.2449961178833
raid_intelligence_note,2.1092249246485
raisins,1.5298953193013
ration_ru,1.7301374819981
ration_ukr,1.7230230770875
rotten_meat,0
salmon,1.5271975393545
sausage,1.5460801597849
stalker_raid_event_item,2.2756461178245
svoboda_novice_outfit,2.0250053470481
tea,1.685460255111
tobacco,1.6618210568939
tomato,1.5369529653846
tushonka,1.5748715922538
vodka,1.5716530026175
vodka2,1.6053621877354
vodka_quality,1.6465816376553
water_drink,1.5412648953379
wpn_abakan_n_1p29,2.1989317643008
wpn_abakan_n_1p76,2.1989317643008
wpn_abakan_n_1p78gs,2.1989317643008
wpn_abakan_n_1pn93,2.1989317643008
wpn_abakan_n_1pn93n2_1gs,2.1989317643008
wpn_abakan_n_ekp8_02,2.1989317643008
wpn_abakan_n_kobra,2.1989317643008
wpn_abakan_n_okp,2.1989317643008
wpn_abakan_n_pka,2.1989317643008
wpn_abakan_n_pso2,2.1989317643008
wpn_abakan_n_usp1,2.1989317643008
wpn_adar2_15_ac10632,2.1347661672485
wpn_adar2_15_acog,2.1347661672485
