~,st_data_export_price_multiplier
af_baloon_af_aac,0.44
af_baloon_af_aam,0.44
af_baloon_af_iam,0.44
af_black_spray_af_aac,0.44
af_black_spray_af_aam,0.44
af_black_spray_af_iam,0.44
af_black_spray_lead_box,0.44
af_blood_af_aac,0.44
af_blood_af_aam,0.44
af_blood_af_iam,0.44
af_bracelet_af_aac,0.44
af_bracelet_af_aam,0.44
af_bracelet_af_iam,0.44
af_bracelet_lead_box,0.44
af_compass_af_aac,0.44
af_compass_af_aam,0.44
af_compass_af_iam,0.44
af_cristall_af_aac,0.44
af_cristall_af_aam,0.44
af_cristall_af_iam,0.44
af_cristall_flower_af_aac,0.44
af_cristall_flower_af_aam,0.44
af_cristall_flower_af_iam,0.44
af_death_lamp_af_aac,0.44
af_death_lamp_af_aam,0.44
af_death_lamp_af_iam,0.44
af_death_lamp_lead_box,0.44
af_dummy_battery_af_aac,0.44
af_dummy_battery_af_aam,0.44
af_dummy_battery_af_iam,0.44
af_dummy_dummy_af_aac,0.44
af_dummy_dummy_af_aam,0.44
af_dummy_dummy_af_iam,0.44
af_dummy_glassbeads_af_aac,0.44
af_dummy_glassbeads_af_aam,0.44
af_dummy_glassbeads_af_iam,0.44
af_electra_flash_af_aac,0.44
af_electra_flash_af_aam,0.44
af_electra_flash_af_iam,0.44
af_electra_moonlight_af_aac,0.44
af_electra_moonlight_af_aam,0.44
af_electra_moonlight_af_iam,0.44
af_electra_sparkler_af_aac,0.44
af_electra_sparkler_af_aam,0.44
af_electra_sparkler_af_iam,0.44
af_empty_af_aac,0.44
af_empty_af_aam,0.44
af_empty_af_iam,0.44
af_empty_lead_box,0.44
af_eye_af_aac,0.44
af_eye_af_aam,0.44
af_eye_af_iam,0.44
af_fire_af_aac,0.44
af_fire_af_aam,0.44
af_fire_af_iam,0.44
af_fireball_af_aac,0.44
af_fireball_af_aam,0.44
af_fireball_af_iam,0.44
af_full_empty_af_aac,0.44
af_full_empty_af_aam,0.44
af_full_empty_af_iam,0.44
af_full_empty_lead_box,0.44
af_fuzz_kolobok_af_aac,0.44
af_fuzz_kolobok_af_aam,0.44
af_fuzz_kolobok_af_iam,0.44
af_glass_af_aac,0.44
af_glass_af_aam,0.44
af_glass_af_iam,0.44
